station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
EHEH,2020-05-23 12:25,66.20,39.20,37.03,270.00,13.00,0.00,30.18,M,6.21,M,FEW,SCT,BKN,M,5200.00,5900.00,6400.00,M,M,M,M,M,M,M,M,M,EHEH 231225Z AUTO 27013KT 230V340 9999 FEW052 SCT059 BKN064 19/04 Q1022 BLU 25014G25KT CAVOK
EHBK,2020-05-23 12:25,64.40,42.80,45.32,260.00,13.00,0.00,30.21,M,6.21,24.00,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHBK 231225Z AUTO 26013G24KT 170V310 9999 NSC 18/06 Q1023 BECMG 27015G25KT
EHDL,2020-05-23 12:25,66.20,35.60,32.14,240.00,17.00,0.00,30.15,M,6.21,27.00,SCT,SCT,M,M,5600.00,6400.00,M,M,M,M,M,M,M,M,M,M,EHDL 231225Z AUTO 24017G27KT 200V320 9999 SCT056 SCT064 19/02 Q1021 BLU
EHGG,2020-05-23 12:25,66.20,42.80,42.57,250.00,16.00,0.00,30.09,M,6.21,M,FEW,M,M,M,4600.00,M,M,M,M,M,M,M,M,M,M,M,EHGG 231225Z AUTO 25016KT 210V290 9999 FEW046 19/06 Q1019 TEMPO 26017G27KT
EHGR,2020-05-23 12:25,66.20,33.80,29.92,270.00,18.00,0.00,30.18,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHGR 231225Z AUTO 27018KT 230V300 9999 NCD 19/01 Q1022 BLU 10004KT CAVOK
EHKD,2020-05-23 12:25,59.00,48.20,67.33,230.00,24.00,0.00,30.12,M,M,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKD 231225Z AUTO 23024KT 190V270 9999 NCD 15/09 Q1020 BLU 24020G32KT 9999 FEW020
EHLE,2020-05-23 12:25,62.60,41.00,45.04,270.00,19.00,0.00,30.15,M,6.21,M,SCT,M,M,M,4400.00,M,M,M,M,M,M,M,M,M,M,M,EHLE 231225Z AUTO 27019KT 240V300 9999 SCT044 17/05 Q1021 NOSIG
EHLW,2020-05-23 12:25,60.80,44.60,55.12,250.00,21.00,0.00,30.09,M,6.21,M,BKN,BKN,M,M,3100.00,3900.00,M,M,M,M,M,M,M,M,M,M,EHLW 231225Z AUTO 25021KT 220V280 9999 BKN031 BKN039 16/07 Q1019 BLU
EHAM,2020-05-23 12:25,62.60,44.60,51.72,250.00,24.00,0.00,30.15,M,6.21,M,FEW,M,M,M,2800.00,M,M,M,M,M,M,M,M,M,M,M,EHAM 231225Z 25024KT 220V280 9999 FEW028 17/07 Q1021 NOSIG
EHAK,2020-05-23 12:25,53.60,46.40,76.50,220.00,31.00,0.00,29.88,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHAK 231225Z AUTO 22031KT 9999 NCD 12/08 Q1012
EHDV,2020-05-23 12:25,53.60,46.40,76.50,220.00,22.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHDV 231225Z AUTO 22022KT //// // ///////// 12/08 Q1014 RE//
EHFD,2020-05-23 12:25,53.60,46.40,76.50,0.00,0.00,0.00,29.94,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFD 231225Z AUTO 00000KT 9999 NCD 12/08 Q1014
EHFZ,2020-05-23 12:25,53.60,46.40,76.50,220.00,27.00,0.00,30.00,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFZ 231225Z AUTO 22027KT 9999 NCD 12/08 Q1016
EHJA,2020-05-23 12:25,55.40,46.40,71.64,210.00,28.00,0.00,30.00,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHJA 231225Z AUTO 21028KT 9999 NCD 13/08 Q1016
EHVK,2020-05-23 12:25,68.00,37.40,32.43,260.00,14.00,0.00,30.18,M,6.21,M,SCT,BKN,M,M,5900.00,6500.00,M,M,M,M,M,M,M,M,M,M,EHVK 231225Z AUTO 26014KT 220V310 9999 SCT059 BKN065 20/03 Q1022 BLU
EHVL,2020-05-23 12:25,59.00,48.20,67.33,240.00,28.00,0.00,30.06,M,4.97,M,NCD,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,EHVL 231225Z AUTO 24028KT 8000 HZ NCD 15/09 Q1018 BLU
EHWO,2020-05-23 12:25,66.20,44.60,45.60,280.00,15.00,0.00,30.18,M,6.21,M,FEW,SCT,M,M,4700.00,7100.00,M,M,M,M,M,M,M,M,M,M,EHWO 231225Z AUTO 28015KT 230V330 9999 FEW047 SCT071 19/07 Q1022 BLU
EHQE,2020-05-23 12:25,55.40,48.20,76.66,180.00,28.00,0.00,30.09,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHQE 231225Z AUTO 18028KT 9999 NCD 13/09 Q1019
EHJR,2020-05-23 12:25,55.40,48.20,76.66,220.00,23.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHJR 231225Z AUTO 22023KT //// // ///////// 13/09 Q1018 RE// W12/H16
EHKV,2020-05-23 12:25,55.40,48.20,76.66,130.00,26.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKV 231225Z AUTO 13026KT 9999 NSC 13/09 Q1019
EHMA,2020-05-23 12:25,57.20,48.20,71.83,240.00,24.00,0.00,30.06,M,6.21,M,FEW,SCT,M,M,2400.00,2800.00,M,M,M,M,M,M,M,M,M,M,EHMA 231225Z AUTO 24024KT 9999 FEW024 SCT028 14/09 Q1018 REDZ
EHMG,2020-05-23 12:25,53.60,48.20,81.87,230.00,29.00,0.00,30.06,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMG 231225Z AUTO 23029KT 9999 NCD 12/09 Q1018
EHPG,2020-05-23 12:25,55.40,50.00,81.99,210.00,27.00,0.00,30.12,M,5.59,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHPG 231225Z AUTO 21027KT 180V240 9000 NSC 13/10 Q1020
EHSA,2020-05-23 12:25,55.40,51.80,87.65,210.00,25.00,0.00,30.18,M,5.59,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSA 231225Z AUTO 21025KT 9000 ///////// 13/11 Q1022 W10/H19
EHSC,2020-05-23 12:25,55.40,50.00,81.99,240.00,26.00,0.00,30.15,M,5.59,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSC 231225Z AUTO 24026KT 9000 ///////// 13/10 Q1021 W13/H16
EHHW,2020-05-23 12:25,55.40,46.40,71.64,250.00,23.00,0.00,30.06,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHHW 231225Z AUTO 25023KT 9999 NCD 13/08 Q1018
EHGR,2020-05-23 12:42,66.20,33.80,29.92,280.00,14.00,0.00,30.18,M,6.21,M,FEW,M,M,M,6400.00,M,M,M,M,M,M,M,M,M,M,M,EHGR 231242Z AUTO 28014KT 250V330 9999 FEW064 19/01 Q1022 BLU
EHFS,2020-05-23 12:55,60.80,50.00,67.54,260.00,25.00,0.00,30.18,M,5.59,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFS 231255Z AUTO 26025KT 9000 NCD 16/10 Q1022
EHRD,2020-05-23 12:55,64.40,44.60,48.55,250.00,19.00,0.00,30.18,M,6.21,M,FEW,SCT,M,M,3400.00,3900.00,M,M,M,M,M,M,M,M,M,M,EHRD 231255Z AUTO 25019KT 210V010 9999 FEW034 SCT039 18/07 Q1022 NOSIG
EHEH,2020-05-23 12:55,64.40,39.20,39.43,270.00,14.00,0.00,30.18,M,6.21,M,FEW,SCT,M,M,6100.00,7200.00,M,M,M,M,M,M,M,M,M,M,EHEH 231255Z AUTO 27014KT 210V300 9999 FEW061 SCT072 18/04 Q1022 BLU 25014G25KT CAVOK
EHBK,2020-05-23 12:55,64.40,41.00,42.28,260.00,10.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHBK 231255Z AUTO 26010KT 210V320 9999 NSC 18/05 Q1023 NOSIG
EHDL,2020-05-23 12:55,68.00,37.40,32.43,240.00,17.00,0.00,30.15,M,6.21,27.00,FEW,SCT,M,M,5500.00,6300.00,M,M,M,M,M,M,M,M,M,M,EHDL 231255Z AUTO 24017G27KT 190V310 9999 FEW055 SCT063 20/03 Q1021 BLU
EHGG,2020-05-23 12:55,62.60,41.00,45.04,260.00,16.00,0.00,30.09,M,6.21,M,FEW,M,M,M,4700.00,M,M,M,M,M,M,M,M,M,M,M,EHGG 231255Z AUTO 26016KT 230V290 9999 FEW047 17/05 Q1019 TEMPO 26017G27KT
EHGR,2020-05-23 12:55,66.20,35.60,32.14,260.00,14.00,0.00,30.18,M,6.21,M,FEW,M,M,M,6400.00,M,M,M,M,M,M,M,M,M,M,M,EHGR 231255Z AUTO 26014KT 210V300 9999 FEW064 19/02 Q1022 BLU
EHKD,2020-05-23 12:55,60.80,48.20,63.15,230.00,23.00,0.00,30.09,M,M,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKD 231255Z AUTO 23023KT 9999 NCD 16/09 Q1019 BLU 24020G32KT 9999 FEW020
EHLE,2020-05-23 12:55,60.80,41.00,48.00,260.00,18.00,0.00,30.15,M,6.21,M,SCT,BKN,M,M,4300.00,4700.00,M,M,M,M,M,M,M,M,M,M,EHLE 231255Z AUTO 26018KT 220V300 9999 SCT043 BKN047 16/05 Q1021 NOSIG
EHLW,2020-05-23 12:55,62.60,46.40,55.37,260.00,23.00,0.00,30.09,M,6.21,M,BKN,BKN,M,M,3000.00,3700.00,M,M,M,M,M,M,M,M,M,M,EHLW 231255Z AUTO 26023KT 220V290 9999 BKN030 BKN037 17/08 Q1019 BLU
EHAM,2020-05-23 12:55,62.60,44.60,51.72,240.00,24.00,0.00,30.15,M,6.21,M,FEW,M,M,M,3200.00,M,M,M,M,M,M,M,M,M,M,M,EHAM 231255Z 24024KT 210V280 9999 FEW032 17/07 Q1021 NOSIG
EHAK,2020-05-23 12:55,53.60,46.40,76.50,220.00,30.00,0.00,29.88,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHAK 231255Z AUTO 22030KT 9999 NSC 12/08 Q1012
EHDV,2020-05-23 12:55,53.60,46.40,76.50,220.00,21.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHDV 231255Z AUTO 22021KT //// // ///////// 12/08 Q1014 RE//
EHFD,2020-05-23 12:55,53.60,46.40,76.50,0.00,0.00,0.00,29.94,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFD 231255Z AUTO 00000KT 9999 NCD 12/08 Q1014
EHFZ,2020-05-23 12:55,53.60,46.40,76.50,M,25.00,0.00,30.00,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFZ 231255Z AUTO VRB25KT 9999 NCD 12/08 Q1016
EHJA,2020-05-23 12:55,55.40,44.60,66.91,220.00,26.00,0.00,30.00,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHJA 231255Z AUTO 22026KT 9999 NSC 13/07 Q1016
EHVK,2020-05-23 12:55,66.20,33.80,29.92,260.00,19.00,0.00,30.18,M,6.21,29.00,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHVK 231255Z AUTO 26019G29KT 220V320 9999 NCD 19/01 Q1022 BLU
EHVL,2020-05-23 12:55,59.00,48.20,67.33,230.00,28.00,0.00,30.06,M,5.59,M,NCD,M,M,M,M,M,M,M,HZ,M,M,M,M,M,M,M,EHVL 231255Z AUTO 23028KT 9000 HZ NCD 15/09 Q1018 BLU
EHWO,2020-05-23 12:55,62.60,44.60,51.72,270.00,16.00,0.00,30.18,M,6.21,M,FEW,SCT,M,M,3800.00,4700.00,M,M,M,M,M,M,M,M,M,M,EHWO 231255Z AUTO 27016KT 220V310 9999 FEW038 SCT047 17/07 Q1022 BLU
EHQE,2020-05-23 12:55,55.40,48.20,76.66,180.00,30.00,0.00,30.09,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHQE 231255Z AUTO 18030KT 9999 NCD 13/09 Q1019
EHJR,2020-05-23 12:55,55.40,48.20,76.66,210.00,22.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHJR 231255Z AUTO 21022KT //// // ///////// 13/09 Q1018 RE// W12/H16
EHKV,2020-05-23 12:55,55.40,48.20,76.66,130.00,27.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKV 231255Z AUTO 13027KT 9999 NSC 13/09 Q1019
EHMA,2020-05-23 12:55,57.20,46.40,67.12,250.00,25.00,0.00,30.06,M,6.21,M,FEW,SCT,M,M,2500.00,2900.00,M,M,-RADZ,M,M,M,M,M,M,M,EHMA 231255Z AUTO 25025KT 9999 -RADZ FEW025 SCT029 14/08 Q1018 RERA REDZ
EHMG,2020-05-23 12:55,53.60,50.00,87.56,230.00,31.00,0.00,30.06,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMG 231255Z AUTO 23031KT 9999 NCD 12/10 Q1018
EHPG,2020-05-23 12:55,55.40,50.00,81.99,210.00,28.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHPG 231255Z AUTO 21028KT 180V250 9999 NSC 13/10 Q1019
EHSA,2020-05-23 12:55,55.40,51.80,87.65,210.00,27.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSA 231255Z AUTO 21027KT 9999 ///////// 13/11 Q1022 W10/H19
EHSC,2020-05-23 12:55,55.40,50.00,81.99,250.00,27.00,0.00,30.15,M,4.97,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSC 231255Z AUTO 25027KT 8000 ///////// 13/10 Q1021 W13/H17
EHHW,2020-05-23 12:55,55.40,48.20,76.66,250.00,21.00,0.00,30.06,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHHW 231255Z AUTO 25021KT 9999 NCD 13/09 Q1018
EHEH,2020-05-23 13:12,66.20,39.20,37.03,250.00,13.00,0.00,30.18,M,6.21,M,FEW,SCT,M,M,8800.00,9400.00,M,M,M,M,M,M,M,M,M,M,EHEH 231312Z AUTO 25013KT 190V290 9999 FEW088 SCT094 19/04 Q1022 BLU 25014G25KT CAVOK TEMPO FEW045CB SCT070
EHGR,2020-05-23 13:14,64.40,39.20,39.43,270.00,15.00,0.00,30.18,M,6.21,M,FEW,BKN,BKN,BKN,5500.00,5800.00,6500.00,7300.00,M,M,M,M,M,M,M,M,EHGR 231314Z AUTO 27015KT 240V310 9999 FEW055CB BKN058 BKN065 BKN073 18/04 Q1022 BLU
EHFS,2020-05-23 13:25,60.80,48.20,63.15,260.00,26.00,0.00,30.18,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFS 231325Z AUTO 26026KT 220V280 9999 NCD 16/09 Q1022
EHRD,2020-05-23 13:25,62.60,44.60,51.72,250.00,19.00,0.00,30.18,M,6.21,M,FEW,M,M,M,3500.00,M,M,M,M,M,M,M,M,M,M,M,EHRD 231325Z AUTO 25019KT 220V290 9999 FEW035 17/07 Q1022 NOSIG
EHEH,2020-05-23 13:25,66.20,39.20,37.03,250.00,13.00,0.00,30.18,M,6.21,M,FEW,SCT,BKN,M,5700.00,6300.00,8500.00,M,M,M,M,M,M,M,M,M,EHEH 231325Z AUTO 25013KT 220V330 9999 FEW057 SCT063 BKN085 19/04 Q1022 BLU 25014G25KT CAVOK TEMPO FEW045CB SCT070
EHBK,2020-05-23 13:25,66.20,41.00,39.72,250.00,12.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHBK 231325Z AUTO 25012KT 210V310 9999 NSC 19/05 Q1023 NOSIG
EHDL,2020-05-23 13:25,66.20,37.40,34.51,250.00,18.00,0.00,30.15,M,6.21,M,SCT,SCT,M,M,5600.00,6600.00,M,M,M,M,M,M,M,M,M,M,EHDL 231325Z AUTO 25018KT 190V320 9999 SCT056 SCT066 19/03 Q1021 BLU
EHGG,2020-05-23 13:25,64.40,42.80,45.32,250.00,17.00,0.00,30.09,M,6.21,M,SCT,M,M,M,4500.00,M,M,M,M,M,M,M,M,M,M,M,EHGG 231325Z AUTO 25017KT 210V280 9999 SCT045 18/06 Q1019 TEMPO 26017G27KT
EHGR,2020-05-23 13:25,64.40,41.00,42.28,260.00,12.00,0.00,30.18,M,6.21,M,FEW,SCT,BKN,M,5100.00,5200.00,7000.00,M,M,M,M,M,M,M,M,M,EHGR 231325Z AUTO 26012KT 230V300 9999 FEW051CB SCT052 BKN070 18/05 Q1022 BLU
EHKD,2020-05-23 13:25,60.80,48.20,63.15,230.00,22.00,0.00,30.09,M,M,33.00,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKD 231325Z AUTO 23022G33KT 180V260 9999 NCD 16/09 Q1019 BLU 24020G32KT 9999 FEW020
EHLE,2020-05-23 13:25,62.60,42.80,48.28,260.00,18.00,0.00,30.15,M,6.21,M,BKN,BKN,M,M,4100.00,4900.00,M,M,M,M,M,M,M,M,M,M,EHLE 231325Z AUTO 26018KT 230V290 9999 BKN041 BKN049 17/06 Q1021 NOSIG
EHLW,2020-05-23 13:25,60.80,42.80,51.45,240.00,23.00,0.00,30.09,M,6.21,M,FEW,SCT,M,M,3200.00,3600.00,M,M,M,M,M,M,M,M,M,M,EHLW 231325Z AUTO 24023KT 210V280 9999 FEW032 SCT036 16/06 Q1019 BLU
EHAM,2020-05-23 13:25,62.60,44.60,51.72,250.00,23.00,0.00,30.15,M,6.21,M,FEW,M,M,M,3400.00,M,M,M,M,M,M,M,M,M,M,M,EHAM 231325Z 25023KT 210V280 9999 FEW034 17/07 Q1021 NOSIG
EHAK,2020-05-23 13:25,53.60,46.40,76.50,220.00,30.00,0.00,29.88,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHAK 231325Z AUTO 22030KT 9999 NSC 12/08 Q1012
EHDV,2020-05-23 13:25,53.60,46.40,76.50,220.00,22.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHDV 231325Z AUTO 22022KT //// // ///////// 12/08 Q1014 RE//
EHFD,2020-05-23 13:25,53.60,46.40,76.50,0.00,0.00,0.00,29.94,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFD 231325Z AUTO 00000KT 9999 NCD 12/08 Q1014
EHFZ,2020-05-23 13:25,53.60,46.40,76.50,210.00,26.00,0.00,30.00,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFZ 231325Z AUTO 21026KT 9999 NCD 12/08 Q1016
EHJA,2020-05-23 13:25,55.40,44.60,66.91,220.00,25.00,0.00,30.03,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHJA 231325Z AUTO 22025KT 9999 NCD 13/07 Q1017
EHVK,2020-05-23 13:25,66.20,33.80,29.92,270.00,14.00,0.00,30.18,M,6.21,25.00,FEW,M,M,M,6700.00,M,M,M,M,M,M,M,M,M,M,M,EHVK 231325Z AUTO 27014G25KT 200V360 9999 FEW067 19/01 Q1022 BLU
EHVL,2020-05-23 13:25,59.00,48.20,67.33,230.00,29.00,0.00,30.06,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHVL 231325Z AUTO 23029KT 9999 NCD 15/09 Q1018 BLU
EHWO,2020-05-23 13:25,66.20,44.60,45.60,280.00,18.00,0.00,30.18,M,6.21,M,FEW,M,M,M,4400.00,M,M,M,M,M,M,M,M,M,M,M,EHWO 231325Z AUTO 28018KT 230V320 9999 FEW044 19/07 Q1022 BLU
EHQE,2020-05-23 13:25,55.40,48.20,76.66,180.00,29.00,0.00,30.09,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHQE 231325Z AUTO 18029KT 9999 NCD 13/09 Q1019
EHJR,2020-05-23 13:25,55.40,48.20,76.66,220.00,22.00,0.00,30.09,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHJR 231325Z AUTO 22022KT //// // ///////// 13/09 Q1019 RE// W12/H17
EHKV,2020-05-23 13:25,55.40,48.20,76.66,130.00,25.00,0.00,30.09,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKV 231325Z AUTO 13025KT 9999 NSC 13/09 Q1019
EHMA,2020-05-23 13:25,57.20,46.40,67.12,250.00,25.00,0.00,30.09,M,6.21,M,FEW,M,M,M,2600.00,M,M,M,-RA,M,M,M,M,M,M,M,EHMA 231325Z AUTO 25025KT 9999 -RA FEW026 14/08 Q1019
EHMG,2020-05-23 13:25,53.60,50.00,87.56,230.00,29.00,0.00,30.06,M,5.59,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHMG 231325Z AUTO 23029KT 9000 NCD 12/10 Q1018
EHPG,2020-05-23 13:25,55.40,51.80,87.65,210.00,30.00,0.00,30.09,M,5.59,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHPG 231325Z AUTO 21030KT 160V240 9000 NSC 13/11 Q1019
EHSA,2020-05-23 13:25,55.40,51.80,87.65,210.00,27.00,0.00,30.18,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSA 231325Z AUTO 21027KT 9999 ///////// 13/11 Q1022 W10/H18
EHSC,2020-05-23 13:25,55.40,51.80,87.65,240.00,25.00,0.00,30.15,M,4.97,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHSC 231325Z AUTO 24025KT 8000 ///////// 13/11 Q1021 W13/H18
EHHW,2020-05-23 13:25,55.40,48.20,76.66,250.00,21.00,0.00,30.06,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHHW 231325Z AUTO 25021KT 9999 NCD 13/09 Q1018
EHGR,2020-05-23 13:49,64.40,46.40,51.98,260.00,14.00,0.00,30.18,M,6.21,M,SCT,BKN,BKN,M,4700.00,5100.00,5800.00,M,M,M,M,M,M,M,M,M,EHGR 231349Z AUTO 26014KT 220V310 9999 SCT047 BKN051 BKN058 18/08 Q1022 BLU
EHFS,2020-05-23 13:55,60.80,48.20,63.15,260.00,26.00,0.00,30.21,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFS 231355Z AUTO 26026KT 9999 NCD 16/09 Q1023
EHRD,2020-05-23 13:55,62.60,48.20,59.26,240.00,20.00,0.00,30.18,M,6.21,M,BKN,BKN,M,M,3000.00,3800.00,M,M,M,M,M,M,M,M,M,M,EHRD 231355Z AUTO 24020KT 210V270 9999 BKN030 BKN038 17/09 Q1022 NOSIG
EHEH,2020-05-23 13:55,57.20,46.40,67.12,290.00,15.00,0.00,30.21,M,6.21,M,FEW,BKN,OVC,M,2500.00,5300.00,6200.00,M,-RA,M,M,M,M,M,M,M,EHEH 231355Z AUTO 29015KT 200V330 9999 -RA FEW025CB BKN053 OVC062 14/08 Q1023 BLU 26014G25KT CAVOK TEMPO FEW045CB SCT070
EHBK,2020-05-23 13:55,64.40,37.40,36.74,270.00,11.00,0.00,30.21,M,6.21,M,NSC,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHBK 231355Z AUTO 27011KT 210V330 9999 NSC 18/03 Q1023 NOSIG
EHDL,2020-05-23 13:55,66.20,39.20,37.03,240.00,17.00,0.00,30.15,M,6.21,27.00,FEW,BKN,BKN,M,5800.00,6300.00,7000.00,M,M,M,M,M,M,M,M,M,EHDL 231355Z AUTO 24017G27KT 180V300 9999 FEW058 BKN063 BKN070 19/04 Q1021 BLU
EHGG,2020-05-23 13:55,64.40,44.60,48.55,250.00,17.00,0.00,30.09,M,6.21,M,SCT,M,M,M,4300.00,M,M,M,M,M,M,M,M,M,M,M,EHGG 231355Z AUTO 25017KT 210V290 9999 SCT043 18/07 Q1019 TEMPO 26017G27KT
EHGR,2020-05-23 13:55,64.40,44.60,48.55,250.00,12.00,0.00,30.18,M,6.21,22.00,FEW,SCT,BKN,M,2200.00,5400.00,6600.00,M,M,M,M,M,M,M,M,M,EHGR 231355Z AUTO 25012G22KT 200V280 9999 FEW022 SCT054 BKN066 18/07 Q1022 BLU
EHKD,2020-05-23 13:55,60.80,50.00,67.54,220.00,23.00,0.00,30.12,M,M,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHKD 231355Z AUTO 22023KT 9999 NCD 16/10 Q1020 BLU 24020G32KT 9999 FEW020
EHLE,2020-05-23 13:55,64.40,42.80,45.32,260.00,21.00,0.00,30.15,M,6.21,M,BKN,BKN,M,M,4200.00,4800.00,M,M,M,M,M,M,M,M,M,M,EHLE 231355Z AUTO 26021KT 230V290 9999 BKN042 BKN048 18/06 Q1021 NOSIG
EHLW,2020-05-23 13:55,62.60,44.60,51.72,250.00,25.00,0.00,30.09,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHLW 231355Z AUTO 25025KT 9999 NCD 17/07 Q1019 BLU
EHAM,2020-05-23 13:55,62.60,44.60,51.72,240.00,24.00,0.00,30.15,M,6.21,M,FEW,M,M,M,3500.00,M,M,M,M,M,M,M,M,M,M,M,EHAM 231355Z 24024KT 9999 FEW035 17/07 Q1021 NOSIG
EHAK,2020-05-23 13:55,53.60,46.40,76.50,230.00,30.00,0.00,29.88,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHAK 231355Z AUTO 23030KT 9999 NCD 12/08 Q1012
EHDV,2020-05-23 13:55,53.60,46.40,76.50,220.00,23.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,EHDV 231355Z AUTO 22023KT //// // ///////// 12/08 Q1014 RE//
EHFD,2020-05-23 13:55,53.60,46.40,76.50,0.00,0.00,0.00,29.94,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFD 231355Z AUTO 00000KT 9999 NCD 12/08 Q1014
EHFZ,2020-05-23 13:55,53.60,48.20,81.87,210.00,26.00,0.00,30.00,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHFZ 231355Z AUTO 21026KT 9999 NCD 12/09 Q1016
EHJA,2020-05-23 13:55,55.40,44.60,66.91,220.00,27.00,0.00,30.03,M,6.21,M,NCD,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,EHJA 231355Z AUTO 22027KT 9999 NCD 13/07 Q1017
EHVK,2020-05-23 13:55,68.00,35.60,30.20,270.00,11.00,0.00,30.18,M,6.21,M,FEW,M,M,M,6800.00,M,M,M,M,M,M,M,M,M,M,M,EHVK 231355Z AUTO 27011KT 240V350 9999 FEW068 20/02 Q1022 BLU
